qindex,ASSIM-N_I,ASSIM_I,MADDA_I,SHAMS_I,MIN-W_I,MIN-Y_I,P_SIL_I,SIL_I,SAKT_I,ASSIM-M_B,ASSIM-N_B,ASSIM_B,MADDA_B,CLIT-H_B,MIN-Y_B,SIL_B
3:45:12,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0
3:47:14,1,0,2,2,0,0,0,0,0,2,4,0,3,1,0,0
3:49:16,2,0,0,3,0,0,0,0,0,2,3,0,0,0,0,0
3:50:1,0,0,0,3,0,0,0,1,0,2,5,0,1,0,0,0
3:52:4,3,0,0,7,0,0,0,1,0,0,0,0,3,0,0,0
3:54:5,1,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0
3:55:29,0,0,0,4,0,0,0,3,0,1,3,0,0,0,0,0
3:58:4,1,0,1,2,0,0,0,0,0,0,6,0,0,2,0,0
3:61:5,2,0,5,1,0,0,0,1,0,0,0,1,0,0,0,0
3:62:10,0,0,2,4,0,0,0,2,0,0,5,0,0,1,0,0
3:64:19,2,0,2,2,0,0,0,3,0,0,4,0,3,1,0,0
3:66:1,2,0,4,1,0,0,0,0,0,2,7,0,0,2,0,0
3:67:11,1,0,1,3,0,0,0,1,0,0,1,1,1,0,0,0
3:70:1,3,0,3,1,0,0,0,1,0,0,1,1,1,0,0,0
3:72:11,1,0,1,2,0,0,0,3,0,0,3,0,4,1,0,0
3:73:24,1,0,2,3,0,0,0,0,0,1,6,0,1,2,0,0
3:75:14,0,0,1,2,0,1,0,1,0,0,3,0,1,2,0,0
3:76:8,1,0,1,2,0,0,0,1,0,0,2,0,0,0,0,0
3:78:2,2,0,0,3,1,0,0,0,0,1,1,0,0,0,0,0
3:79:3,2,0,0,4,0,1,0,3,0,0,5,0,0,0,0,0
3:80:5,2,0,2,3,0,2,0,0,0,3,5,0,1,2,0,0
3:81:22,0,0,1,3,0,0,1,3,0,1,3,0,2,1,0,0
3:83:12,2,0,0,2,0,0,0,0,0,0,3,0,4,0,0,0
3:84:28,0,0,1,3,0,0,0,2,0,0,5,0,1,1,0,0
3:86:16,1,0,3,4,0,0,0,3,0,0,1,0,0,0,0,0
3:89:10,0,0,2,1,0,0,0,5,0,1,6,0,0,0,0,0
3:91:15,2,0,1,2,0,0,0,4,0,1,7,0,1,2,0,0
3:93:6,1,0,3,4,0,0,0,2,0,0,4,0,2,1,0,0
3:95:1,0,0,0,2,0,0,0,1,0,0,8,0,0,1,0,0
3:97:10,0,0,1,4,0,0,0,0,0,0,2,0,0,0,0,0
3:99:2,1,0,3,2,0,0,0,3,0,1,4,0,1,0,0,0
3:100:12,1,0,1,3,0,0,0,2,0,1,3,0,0,2,0,0
3:102:10,4,0,1,3,0,0,0,3,0,3,4,0,1,1,0,0
3:103:27,2,0,1,1,0,0,0,4,0,0,3,0,0,1,0,0
3:105:9,1,0,2,1,0,0,0,2,0,1,3,0,0,0,0,0
3:107:8,1,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0
3:110:6,2,0,0,1,0,0,0,0,0,1,4,0,1,0,0,0
3:112:2,1,0,2,5,0,0,0,2,0,0,4,0,1,0,0,0
3:112:32,1,0,3,2,0,0,0,3,0,0,3,1,0,0,0,0
3:114:13,0,0,2,4,0,0,0,4,0,1,5,0,1,0,0,0
3:117:1,3,0,1,2,0,0,0,3,0,0,4,0,1,0,0,0
3:118:8,2,0,3,0,0,0,0,2,0,0,2,0,0,0,0,0
3:119:7,0,0,0,2,0,0,0,5,0,0,5,0,1,1,0,0
3:120:9,1,0,1,2,0,0,0,2,0,0,3,1,0,0,0,0
3:122:7,2,0,1,4,0,0,0,1,0,1,5,0,1,0,0,0
3:125:2,1,0,1,3,0,0,0,2,0,3,3,0,0,1,0,0
3:126:17,1,0,1,1,0,0,0,2,0,0,1,0,1,0,0,0
3:129:9,0,0,3,6,0,0,0,6,0,0,6,0,2,0,0,0
3:132:5,1,0,2,5,0,0,0,2,0,0,2,0,1,0,0,0
3:135:6,1,0,2,3,0,0,0,6,0,1,5,0,1,0,0,0
3:136:13,3,0,0,1,0,0,0,4,0,1,6,0,0,0,0,0
3:139:9,1,0,1,5,0,0,0,2,0,0,3,0,0,1,0,0
3:141:6,4,0,0,2,0,0,0,2,0,0,4,0,0,0,0,0
3:144:5,2,0,0,4,0,0,0,1,0,0,6,0,1,0,0,0
3:145:8,0,0,0,3,0,0,0,1,0,0,8,0,1,3,0,0
3:146:14,1,0,0,4,0,0,0,3,0,0,1,0,2,0,0,0
3:148:4,1,0,1,4,0,0,0,4,0,0,1,0,2,0,0,0
3:151:5,0,0,0,5,0,0,0,2,0,2,2,0,3,3,0,0
3:152:16,3,0,0,2,1,0,0,0,0,3,2,0,1,0,0,0
3:153:6,1,0,1,2,0,0,0,1,0,1,8,0,3,0,0,0
3:154:11,3,0,1,1,0,0,0,0,0,1,3,1,1,1,0,0
3:154:41,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
